,subject,predicate,object
615,Gazelle,abstract,"A gazelle is any of many antelope species in the genus Gazella. This article also deals with the six species included in two further genera, Eudorcas and Nanger, which were formerly considered subgenera of Gazella. A third former subgenus, Procapra, includes three living species of Asian gazelles. Gazelles are known as swift animals. Some are able to run at bursts as high as 100 km/h (60 mph) or run at a sustained speed of 50 km/h (30 mph). Gazelles are found mostly in the deserts, grasslands, and savannas of Africa; but they are also found in southwest and central Asia and the Indian subcontinent. They tend to live in herds, and eat less coarse, easily digestible plants and leaves. Gazelles are relatively small antelopes, most standing 60â€“110 cm (2â€“3.5 ft) high at the shoulder, and are generally fawn-colored. The gazelle genera are Gazella, Eudorcas, and Nanger. The taxonomy of these genera is confused, and the classification of species and subspecies has been an unsettled issue. Currently, the genus Gazella is widely considered to contain about 10 species. Four further species are extinct: the red gazelle, the Arabian gazelle, the Queen of Sheba's gazelle, and the Saudi gazelle. Most surviving gazelle species are considered threatened to varying degrees. Closely related to the true gazelles are the Tibetan and Mongolian gazelles (species of the genus Procapra), the blackbuck of Asia, and the African springbok. One widely familiar gazelle is the African species Thomson's gazelle (Eudorcas thomsoni), which is around 60 to 80 cm (24 to 31 in) in height at the shoulder and is coloured brown and white with a distinguishing black stripe. The males have long, often curved, horns. Like many other prey species, Tommies and springboks (as they are familiarly called) exhibit a distinctive behaviour of stotting (running and jumping high before fleeing) when they are threatened by predators, such as cheetahs, lions, African wild dogs, crocodiles, hyenas, and leopards."
616,Gazelle,type,Mammal
618,Gazelle,type,BiologicalLivingObject
619,Gazelle,type,Eukaryote
620,Gazelle,type,Animal
621,Gerbil,abstract,"A gerbil is a small mammal of the subfamily Gerbillinae in the order Rodentia. Once known as desert rats, the gerbil subfamily includes about 110 species of African, Indian, and Asian rodents, including sand rats and jirds, all of which are adapted to arid habitats. Most are primarily active during the day, making them diurnal (but some species, including the common household pet, exhibit crepuscular behavior), and almost all are omnivorous. Gerbils are related to mice and rats; they all belong to the family Muridae. One Mongolian species, Meriones unguiculatus, also known as the clawed jird, is a gentle and hardy animal that has become a popular small house pet. It was first brought from China to Paris in the 19th century. It was brought to the United States much later, in 1954, by Dr. Victor Schwentker for use in research. Notably, it is illegal to keep gerbils as pets in California and New Zealand. The gerbil got its name as a diminutive form of ""jerboa"", an unrelated group of rodents occupying a similar ecological niche. Gerbils are typically between 150 and 300 mm (6 and 12 in) long, including the tail, which makes up about half of their total length. One species, the great gerbil, Rhombomys opimus, originally native to Turkmenistan, can grow to more than 400 mm (16 in). The average adult gerbil weighs about 70 grams (2 1â„2 ounces)."
622,Gerbil,type,Animal
623,Gerbil,type,BiologicalLivingObject
625,Gerbil,type,Eukaryote
626,Gerbil,type,Mammal
627,Giraffe,abstract,"The giraffe (Giraffa) is an African artiodactyl mammal, the tallest living terrestrial animal and the largest ruminant. It is traditionally considered to be one species, Giraffa camelopardalis, with nine subspecies. However, the existence of up to eight extant giraffe species has been described, based upon research into the mitochondrial and nuclear DNA, as well as morphological measurements of Giraffa. Seven other species are extinct, prehistoric species known from fossils. The giraffe's chief distinguishing characteristics are its extremely long neck and legs, its horn-like ossicones, and its distinctive coat patterns. It is classified under the family Giraffidae, along with its closest extant relative, the okapi. Its scattered range extends from Chad in the north to South Africa in the south, and from Niger in the west to Somalia in the east. Giraffes usually inhabit savannahs and woodlands. Their food source is leaves, fruits and flowers of woody plants, primarily acacia species, which they browse at heights most other herbivores cannot reach. They may be preyed on by lions, leopards, spotted hyenas and African wild dogs. Giraffes live in herds of related females and their offspring, or bachelor herds of unrelated adult males, but are gregarious and may gather in large aggregations. Males establish social hierarchies through ""necking"", which are combat bouts where the neck is used as a weapon. Dominant males gain mating access to females, which bear the sole responsibility for raising the young. The giraffe has intrigued various cultures, both ancient and modern, for its peculiar appearance, and has often been featured in paintings, books, and cartoons. It is classified by the International Union for Conservation of Nature as vulnerable to extinction, and has been extirpated from many parts of its former range. Giraffes are still found in numerous national parks and game reserves but estimates as of 2016 indicate that there are approximately 97,500 members of Giraffa in the wild. More than 1,600 were kept in zoos in 2010."
628,Giraffe,type,BiologicalLivingObject
629,Giraffe,type,Animal
631,Giraffe,type,Mammal
632,Giraffe,type,Eukaryote
633,Gnat,abstract,"A gnat  is any of many species of tiny flying insects in the dipterid suborder Nematocera, especially those in the families Mycetophilidae, Anisopodidae and Sciaridae. They can be both biting and non-biting. Most often they fly in large numbers, called clouds. ""Gnat"" is a loose descriptive category rather than a phylogenetic or other technical term, so there is no scientific consensus on what constitutes a gnat. Some entomologists consider only non-biting flies to be gnats. Certain universities also distinguish eye gnats: the Smithsonian Institution describes them as ""non-biting flies, no bigger than a few grains of salt, ... attracted to fluids secreted by your eyes""."
